,url,title,description,author,date,topic,text
0,https://www.zdnet.com/article/vs-code-new-c-language-extension-brings-microsofts-code-completion-to-raspberry-pi-4/,VS Code: New C++ language extension brings Microsoft's code-completion to Raspberry Pi 4,"Microsoft forges ahead with support for Arm-based platforms, including its Surface Pro X and the Raspberry Pi.",Liam Tung,2020-12-09 14:41:44,Enterprise Software,"Microsoft has released a new version of the C++ extension for its popular Visual Studio Code (VS Code) code editor. 

The new release is an official VS Code C++ extension for Windows 10 and Linux systems, as well as macOS, but not Apple's new M1 Silicon Macs. 

Supported devices for the C/C++ extension – one of the most popular extensions on the Visual Studio Marketplace –   now include the Raspberry Pi 4, Google Chrome OS-powered Chromebooks, the Windows 10 on Arm Surface Pro X, and other Arm-based devices. 

VS Code is a cross-platform code editor that has always supported Windows 10, Linux and macOS. Microsoft in July told ZDNet it intended to support Apple silicon hardware due to the large VS Code user-base on macOS, but it didn't have a timeline for when the extension and the VS Code editor   might fully support Macs that use Apple's new Arm-based M1 processor. 

In November, Microsoft's VS Code team assured its Mac users that Apple silicon support was coming by the end of November. The Apple silicon edition of VS Code is available but currently only in an experimental form for users on the VS Code Insiders preview channel.  

The C++ extension for VS Code brings support for Microsoft's AI-powered IntelliSense code-completion. The update is mostly targeted at the Surface Pro X, which now can use IntelliSense's quick info, autocomplete, and signature help features, as well as code navigation. 

The September 2020 1.0 release of the C++ extension enabled building and debugging on Linux Arm and Arm64 machines through remote-SSH, allowing users to pick their own compiler and debugger. 

The VS Code team is at Microsoft-owned GitHub's annual Universe developer conference. It's all being held online because of the pandemic, so everyone can access it. 

The next talk from Microsoft's VS Code team is at 20:15 CET and looks at how Microsoft is developing VS Code in the open on GitHub. Much like Microsoft's TypeScript superset of JavaScript, VS Code, built using TypeScript, is being developed in the open. 

""While developing in the open, our team has learned how to balance community engagement with delivering value and shipping code. In this talk, we'll share engineering best practices our team has adopted on GitHub to collaborate with our users, get feedback, and iterate quickly,"" Microsoft states.  "
1,https://www.zdnet.com/article/revealed-apples-next-m-series-chips-aim-to-shake-the-microsoft-windows-intel-alliance/,Revealed: Apple's next M-series chips aim to shake the Microsoft Windows-Intel alliance,Apple's next M-series Arm-based chips could have more high-performance cores than its top Intel-based Mac.,Liam Tung,2020-12-09 13:38:00,Hardware,"Apple's chip designers are preparing a new set of processors for 2021 that potentially create a significant threat to the Wintel, or Windows-Intel, alliance that's dominated personal computers since the 1980s.  

Bloomberg's Apple watchers report that Apple chip engineers are busy making several successors to M1, the first iteration of Apple's Arm-based Silicon chips in the new MacBook Air, the 13-inch MacBook Pro and the Mac mini.  



                        Apple Silicon and the rise of ARMs: How changing Mac’s processor could change the world
                    


Mac may not be Macintosh any more, but Apple’s revival of an old idea suggests history may not have changed as much as we think.


Read More


Early benchmarks show the M1 computers smash the Intel-based Mac siblings and even make Windows 10 on Arm look good compared with Microsoft's OS on its own Surface Pro X.  

Microsoft only licenses Windows 10 on Arm to manufacturers like HP and Lenovo as opposed to end users, so Windows can't run on Apple's new hardware. But an Amazon Web Services (AWS) virtualization engineer recently got a virtualized version of Microsoft's Arm variant of Windows 10 to run on Apple's M1 hardware.   

Machines in the current lineup of M1-based Apple computers are relatively low end, but Apple's next target with its Arm-based chips – an evolution from the A-series chips in the iPhone and iPad – are aimed at high-end Wintel PCs.  

Per Bloomberg, Apple's next M-series chips will significantly outpace the performance of the latest machines running Intel chips, according to sources familiar with the matter.     

The move could make Apple's Arm-based hardware more popular with developers, some of whom have preferred to work on Windows PCs or Intel-based computers that can run Linux.  

Linux kernel creator Linus Torvalds is keen on an M1 Mac, but refuses to buy one for development work because Apple hardware can't run Linux. He also thinks Arm servers for the cloud are out of reach right now because developers aren't using Arm-based computers at home, where they work.  

Arm-based processors historically have not had the level of performance offered by Intel processors, but Arm processors have delivered better power efficiency, making them ideal for mobile devices. Apple silicon potentially changes the equation.  

Bloomberg reports that Apple's roadmap suggests the company is fairly certain it can deliver improvements that remove its dependence on Intel, which dates back to Apple's 2006 switch from PowerPC – the chip design it collaborated on with IBM and Motorola in the 1990s. Apple is planning to move to its own silicon in 2022.  

Apple's shift to its own silicon throws a spanner in the works of the Wintel alliance, which also involves computer manufacturers like HP, Dell, Lenovo, and Asus. At the same time, Apple gets to extricate itself from the x86 Intel world.  

Apple is reportedly planning for 16 power cores and four efficiency cores for its next line-up of chips, which contrasts with the eight-core chips in its highest-end Macs today.  

According to Bloomberg, for Apple's higher-end desktop computers set for release in late 2021, the company is testing a chip design with as many as 32 high-performance cores –   more cores than the most expensive Mac Pro desktop, which can be configured with an Intel chip with 28 cores. "
2,https://www.zdnet.com/article/will-2021-be-the-year-apple-fans-get-their-most-wanted-product/,Will 2021 be the year Apple fans get their most wanted product?,Dreams can come true. And Apple's new M1 chip brings a product that fans have been asking for closer to reality.,Adrian Kingsley-Hughes,2020-12-09 11:46:00,Hardware 2.0,"Apple fans are a greedy bunch. Not content with the iPhone, iPad, and expensive headphones, these are products that don't exist -- fantasy unicorn products -- that they've been talking about for years.

Things like the Apple Car, or Apple VR goggles, or an iPad-like device that runs macOS.

Crazy ideas. 

Or maybe not.

Let's come back to that macOS tablet for a moment.

Must read: Best of the best gadgets of 2020

There's an interesting, rather glaring, divide when it comes to Apple's hardware ecosystem. On the one hand, you have Macs that are driven by keyboards, mice, and trackpads, and on the other hand, you have iDevices that have touchscreens and smart pencils.

It's an odd divide. And it begs the question why Apple doesn't have a touchscreen or pen-driven tablet that runs macOS.

Moving away from dreams to the cold, hard reality of technology, there are some good reasons. Tablets need to be thin and light, not emit hand-searing levels of heat, and have decent battery live and offer acceptable performance.

Building a device that achieves two or three of those is not hard, getting all four is hard.

Well, or it was.

The problem was that in order to make a Mac tablet, Apple was previously tied to Intel, and Intel chips always came with a performance/heat/battery life juggling act. The tablets out there that run Intel chips are on the whole an awkward compromise of the three.

But.

Apple now has M1.

Look at the performance and battery life of the fanless M1 MacBook Air and tell me that isn't a platform that wouldn't work as a tablet. 

The power is there.

The battery life is there.

The thermal management is there.

The whole package is thin and light.

It all makes sense.

When I've had this discussion before, the argument usually comes back to ""well, doesn't the iPad/iPad Pro do everything now?"" No, it doesn't. If it did, Apple would have slung the whole Mac line into the dumpster. 

People still need Macs. And a touch-based Mac would open up new markets, especially for the creative types, or enterprise folks who want the convenience of a tablet but the power of a laptop.

Will it happen? Who knows? But the pieces are now all there for Apple to build one.

Or maybe there's more money in expensive headphones that come with a weird carry case."
3,https://www.zdnet.com/article/nz-adopts-googleapple-covid-19-exposure-notification-tech-for-contact-tracing/,NZ adopts Google/Apple COVID-19 exposure notification tech for contact tracing,Adding Bluetooth capability to the NZ COVID Tracer app from Thursday.,Asha Barbaschow,2020-12-08 23:49:54,Security,"The New Zealand government has done what the Australian government should have by implementing the COVID-19 contact tracing framework developed by Apple and Google instead of pushing forward with a problem-riddled app. 

From Thursday, the NZ COVID Tracer app will see the addition of Bluetooth tracing, which adopts the Apple/Google Exposure Notification Framework. 

""Kiwis deserve a summer break more than ever this year but we cannot take our eye off the ball. The prospect of another outbreak should serve as a rock under our beach towels. That's no bad thing,"" Minister for COVID-19 Response Chris Hipkins said. 

When an app user tests positive for COVID-19, they can choose to alert other app users who may have been exposed to the virus. Other app users will then receive an alert if they have been near that app user who tested positive for COVID-19. 

The Ministry of Health will not know an individual has received an alert unless that individual chooses to get in touch for information and advice. 

""But it's vitally important that New Zealanders see Bluetooth as an additional tool that will help to speed up contact tracing,"" Hipkins said. ""We need to continue to scan QR codes wherever we go, and businesses, services, and public transport providers must keep displaying their QR code posters at all alert levels. 

""QR codes allow us to create a private record of the places we've been, while Bluetooth creates an anonymised record of the people we've been near."" 

Hipkins said combined, they complement the work done by public health units and the National Investigation and Tracing Centre to rapidly identify and isolate close contacts.  

""That continues to be the primary method for contact tracing in New Zealand,"" he added. 

There are currently around 2.4 million registered users of the NZ COVID Tracer app, of which approximately 90% will have phones that are compatible with Bluetooth tracing.  

Being mindful that many New Zealanders are without access to a compatible smartphone, Hipkins said that while no decisions have yet been made on any wider rollout of the proposed contact tracing cards, there is potential for the cards or other wearables to form part of a broader system of interoperable technologies. 

""The recent community trial of the cards with the Te Arawa COVID-19 Response Hub has highlighted that a partnership approach to any future rollout of cards or wearables will be essential to increasing community trust and participation with contact tracing technologies,"" he said. 

The app has been endorsed by the Privacy Commissioner, and the Ministry of Health will release the source code on Friday. 

NZ COVID Tracer will update automatically and Bluetooth tracing will be turned off by default. 

As of Tuesday, the total number of active cases in New Zealand was 54. The total number of confirmed cases since the pandemic hit the country is 1,729. 

Six new cases were found on Tuesday, all of them were returned travellers. "
4,https://www.zdnet.com/article/apple-one-plans-pricing-cost-features-release-date-how-to-sign-up-join/,"What is Apple One, how to subscribe, and how much is it?","At Apple's Time Flies event back in September, Apple unveiled its long-awaited services bundle, Apple One, which is now available. ZDNet's Beth Mauder breaks down the three different Apple One plans, including how to sign up.",Elizabeth Mauder,2020-12-08 19:03:00,Apple,"Apple's long-awaited services bundle, which brings together Apple's premium subscriptions like Apple TV Plus and Apple Music at discount, is here. The company first unveiled three different Apple One plans at a Time Flies event in September 2020. ZDNet is now breaking down what each plan includes and how much they cost, plus how you can sign up. 

Also: Everything announced at Apple's Time Flies event 

Watch the video above or read below to learn more about Apple's new subscription service.   





                        Best iPhones in 2020: iPhone 11 Pro Max, iPhone SE, and more
                    


Here are the top iPhone models (new and old) available to buy right now


Read More


Apple One comes with a 30-day free trial for any services that customers haven't already subscribed to in the past. All the plans are billed monthly but can be canceled at any time.

The Individual plan is the cheapest of the three Apple One tiers. For $14.95 a month in the US, users get access to Apple Music, Apple TV Plus, Apple Arcade, and 50GB of iCloud Storage. Apple says the Individual plan works out to a monthly savings of over $6 per month.

Apple's middle-tier plan, the Family plan, includes access to Apple Music, Apple TV Plus, Apple Arcade, and 200GB of iCloud storage for $19.95 per month in the US. This tier can be shared with up to six family members. You will save over $8 per month with this plan.   

Apple's largest bundle package, the Premier plan, costs $29.95 a month in the US. You'll have access to Apple Music, Apple TV Plus, Apple Arcade, Apple News Plus, Apple Fitness Plus, and 2TB (terabytes) of iCloud storage. This plan can also be shared with up to six family members, and although it costs the most, it does save you the most money, with a monthly discount of over $25 per month.   



You can subscribe to Apple One and choose the plan that best suits you and your family directly from your iPhone. Go to settings > your name > and click Get Apple One. From there, you can select your preferred plan and can start your free trial.

Again, all first-time Apple One subscribers get 30 days free to start.



To help you choose which Apple One plan will be the most beneficial for you and your family, here's a quick rundown of what each Apple subscription service includes:    

Apple Music is a music streaming service offering over 70 million songs, as well as thousands of playlists, daily selections from the world's best music experts, and Apple Music radio. Without Apple One, Apple Music costs $9.99 per month in the US.   

Apple TV Plus is a video streaming service that's home to Apple Originals in the Apple TV app. It has earned over 100 awards recognitions, including 18 Emmy nominations, for its original TV shows and films. Without Apple One, Apple TV Plus costs $4.99 per month in the US.   

Apple Arcade is a subscription service that gives gamers unlimited access to more than 100 titles across iPhone, iPad, iPod Touch, Mac, and Apple TV -- with no ads or in-app purchases. Without Apple One, Apple Arcade costs $4.99 per month in the US.   

Apple News Plus is a news subscription service that provides premium access to the leading newspapers and hundreds of magazines in a digital format through the News app. Without Apple News Plus, Apple News costs $9.99 per month in the US.   

Apple Fitness Plus is Apple's newly announced fitness service for Apple Watch users, launching Dec. 14, 2020. Fitness Plus intelligently incorporates metrics from Apple Watch for users to see right from their wrist, offering a first-of-its-kind personalized workout experience. There are workouts for everyone, from beginners to committed exercisers, all delivered by inspiring world-class trainers. Without Apple One, Fitness Plus will cost $9.99 per month in the US.   

iCloud is Apple's cloud-based storage service that stores customers' photos, videos, files, and more. Files and documents can sync and are available across all your Apple devices. Without Apple One, you get 5GB of iCloud storage for free. Otherwise, iCloud plans start at 50GB for 99 cents per month in the US.   



Starting Oct. 30, 2020, Apple One's Individual and Family plans arre available in over 100 countries and regions, including in the US. The Premier plan also launched, but only in the US, UK, Canada, and Australia - or where Apple News Plus is available.

Let us know in the comments which plan you want to try. As always, for all things tech, be sure to stick with ZDNet.  

  "
5,https://www.zdnet.com/article/apple-announces-airpods-max-over-the-ear-headphones-that-launch-dec-15-for-549/,"Apple announces AirPods Max, over-the-ear headphones that launch Dec. 15 for $549","Just in time for the holidays, Apple is ready to release its latest audio device.",Jason Cipriani,2020-12-08 14:03:00,Apple,"



                        Best wireless earbuds for business in 2020: AirPods and alternatives
                    


Good earbuds aren't just great for making and receiving calls when on the move.


Read More


After several months of rumors and speculation, Apple has announced the AirPods Max, the first over-the-ear headphones from the company not under the Beats by Dre brand. There's an overall retro feel to the AirPods Max, giving them a unique look. Up until this point, the rumor was the headset would be called AirPods Studio. Alas, Apple likes to stick with familiar marketing names, and the AirPods Max is the end result. 

AirPods Max are available to order right now at Apple.com and begin shipping on Dec. 15. They cost $549.

The headphones have all of the same features the AirPods Pro do, just in a different form factor. Each ear cup has one of Apple's H1 chips to help with connectivity, an adaptive EQ that adjusts the equalizer for each year in real time, for example. AirPods Max also have the ability to pause music when you take the headphones off, or even just move one cup off your hear.



                        ZDNet Recommends: Holiday Gift Guide 2020
                    


Looking for the perfect gift this holiday season? Here's a great lineup of gift ideas and resources to get you started.


Read More


Active noise cancelation and transparency mode are also part of the package, as is the fairly new Spatial Audio feature Apple added to the AirPods Pro with the release of iOS 14. Spatial Audio delivers a 5.1, 7.1 and Dolby Atmos audio experience, based on your head movement while you watch compatible content.

AirPods Max come in silver, space gray, sky blue, pink, and green. They also come with a soft Smart Case that puts them into a low power state to conserve battery life. Speaking of battery life, Apple claims the AirPods Max will last 20 hours on a single charge with both ANC and Spatial Audio enabled.

You can order AirPods Max right now. Deliveries will arrive next week, on Dec. 15. Do you plan on ordering a pair? Let us know in the comments below."
6,https://www.zdnet.com/article/programming-language-python-first-version-released-to-run-natively-on-apple-m1/,Programming language Python: First version released to run natively on Apple M1,Python maintainers give a hand to data scientists who want to use Apple hardware with new Arm-based M1 chips.,Liam Tung,2020-12-08 12:54:00,Enterprise Software,"Developers working on Core Python, the project behind programming language Python, have released the first version of the language that supports macOS Big Sur natively on Apple silicon. 

Besides performance, speed and battery improvements, Apple's Arm-based M1 MacBook Air, MacBook Pro 13-inch, and Mac mini present new questions for developers. 



                        Apple Silicon and the rise of ARMs: How changing Mac’s processor could change the world
                    


Mac may not be Macintosh any more, but Apple’s revival of an old idea suggests history may not have changed as much as we think.


Read More


The M1 chip computers have been getting rave reviews from developers who are impressed with the processor's performance. But is Apple silicon good for the data-science world?

SEE: Guide to Becoming a Digital Transformation Champion (TechRepublic Premium)

Python maintainers have released 3.9.1 Python, which is the first version to support macOS 11 Big Sur. As they note, Xcode 11 makes it possible to build Universal 2 binaries that work on Apple Silicon. 

The team has provided an installer it calls macos11.0 but points out that this variant should be considered ""experimental"". 

Python 3.9.1 is the first maintenance release of Python 3.9, which introduced a number of new features over version 3.8.

When Apple announced its non-Intel chip, it outlined plans to support both Intel and Apple silicon. Universal 2 will make updated apps automatically support both chipsets, while Rosetta 2 will allow apps that haven't been update to run in Apple silicon environments. 

Apple's switch to an Arm-based instruction set architecture has caused concern among users of Python since the company announced its plans.  

SEE: Meet the hackers who earn millions for saving the web, one bug at a time (cover story PDF) (TechRepublic)

""Apple announced yesterday that they will switch the CPU architecture for macOS over the next couple of years. While doing so, there will be once again binaries with multiple architectures (x86_64 and Arm64 this time),"" wrote Core Python developer Ronald Oussoren.

""I'm wondering how to deal with this in the naming of wheels. In the past we've introduced custom machine names for these fat binaries (for example, 'universal' for 'i386 and ppc'), but that was before the introduction of explicit support for multiple compatibility tags in the packaging ecosystem.""

According to Python Core developers including Oussoren, questions around using Python on Apple's high-performing M1 machines have been addressed, albeit with an experimental installer. 

""As of 3.9.1, Python now fully supports building and running on macOS 11.0 (Big Sur) and on Apple Silicon Macs (based on the Arm64 architecture),"" they wrote.  

SEE: The algorithms are watching us, but who is watching the algorithms?

A new universal build variant, Universal 2, natively supports both Arm64 and Intel 64 in one set of executables, the Core Python developers said.  

""Binaries can also now be built on current versions of macOS to be deployed on a range of older macOS versions (tested to 10.9) while making some newer OS functions and options conditionally available based on the operating system version in use at runtime."""
7,https://www.zdnet.com/article/whos-winning-the-race-to-replace-nand-flash/,Who's winning the race to replace NAND flash?,"Despite its success, NAND flash wins only because there's nothing better. That may soon change. For now the landscape remains DRAM for memory and flash-based SSDs for storage. But underneath the surface calm, the technology trends are churning.",Robin Harris,2020-12-07 21:55:00,Storage Bits,"The fine folks over at analyst firms Objective Analysis and Coughlin Associates sent me a copy of their 2020 report -- Emerging Memories Find Their Direction -- to review. It's as dense with technical detail and insight as you'd expect from a PhD, which co-author Tom Couglin happens to  be. 

It was only about 14 years ago that a bit of NAND flash memory became cheaper than a DRAM bit.  That milestone flicked a switch and soon flash-based enterprise products started remaking the storage market. 



                        Data storage: Everything you need to know about emerging technologies
                    


We'll see more change in the next decade than we've ever seen before in computer data storage. Here's what's coming.


Read More


Companies like Fusion-IO and SanDisk began offering flash-based cards with the performance of million-dollar disk arrays for 1% of the price. Meanwhile, cheap USB thumb drives wiped out what was left of the floppy-disk and CD-ROM markets. 

The new layer of persistent storage turned out to be a game changer despite the many limitations of NAND flash, such as limited life, block-only addressing,  and slow writes. New emerging memory technologies might have even greater impact on storage and system architectures than NAND flash. 

The report handicaps the contenders with rich and insightful detail on technologies, use cases, performance, density, and manufacturing issues.

The memories in the report include Phase Change Memory (PCM), Resistance RAM (ReRAM), Ferroelectric RAM (FRAM), Magnetic RAM (MRAM), Spin Transfer Torque MRAM (STT MRAM) and some newer technologies such as the carbon nanotube memory (NRAM) under development by Nantero. Most of these are in production today for specialized applications where features such as radiation resistance, high-density, long life and/or low-power, are valuable. 

Micron's and Intel's 3D XPoint PCM memory, with high endurance, much better than NAND performance, higher density -- but a little slower than DRAM -- might be the first of the new technologies to take memory market share from  DRAM. Intel's Optane NVMe SSDs using 3D XPoint were introduced in 2017, while they began to ship NVDIMM Optane products in 2019.  

Optane remains more expensive than NAND flash, which restricts its use in SSDs to cost-insensitive applications. Optane NVDIMM is only available for Intel's Second-Generation Intel Xeon Scalable Processors, which definitely slows market uptake. 

But what will replace NAND flash? The report concludes:

I expect to see much faster progress in the next decade, when one of these technologies, most likely ReRAM, reaches  a tipping point where its price/performance enables compelling new products. Enterprise NAND's need for costly and sophisticated controllers to overcome its limited lifespan and slow writes is its biggest vulnerability. 

Moreover, as the report points out, the ability of some of these low-power technologies to be fabricated directly on a CPU chip holds great promise for fast and efficient in-memory processing. The performance of Apple's M1 fabric-attached DRAM is only a first step.

The bottom line is that with all these technologies under active development, we're bound to see another storage/memory tipping point this decade, with many opportunities for substantial improvement in out digital infrastructure. I can hardly wait!

Comments welcome, as always."
8,https://www.zdnet.com/article/holiday-gift-guide-2020/,ZDNet Holiday Gift Guide 2020,Looking for the perfect gift this holiday season? Here's a great lineup of gift ideas and resources to get you started.,Elyse Betters Picaro,2020-12-07 17:32:00,Holiday Gifts,"

All year, our expert reviewers scour the internet to find the top technology products and services for our business audience. Now that the holiday shopping season is here, we're recommending what would make great gifts.   

Here's a look at ZDNet's top choices for technology gifts, gadgets, and accessories.

Best gifts under $25: Stocking stuffers and more

Your stocking stuffers don't need to be super expensive in order to be awesome.

Best gifts for co-workers under $50

Sure, your office-mates might love to get a PS5, but that's not going to happen. Here's a few more wallet-friendly options.

Best gadgets for your favorite junior roboticists and hackers

If you want to spark the imagination of your kids while at the same time giving them a leg up with some of the tech skills they'll need as adults, you can't go wrong by looking at these products as gifts this holiday season.

Home office tech that every remote worker wants

Working from home doesn't have to be a series of compromises. Here are 12 gifts that will make your loved one's job easier.

Inexpensive tech and gadgets for under $100

Here are ZDNet's top picks for affordable, useful gadgets and tech accessories that would make great gifts this year.

Tech gear to help you stay connected

This holiday season is going to look very different, but you can stay connected with these cool gadgets.

IT pro tools and top gifts for DIYers

Gifts for the DIYer and fixer in your life. (Or gifts for your wishlist, if that's you!)

Tech gadgets for kitchen nerds

With these tools in your home kitchen, you can cook just like a pro.

Unexpected and delightful Alexa devices for home offices

Do you seriously need more automation in the office? Isn't it enough that Alexa turns on your lights for you? No. No it isn't. If there's something we can automate, if there's some form of laziness we can encourage, we're here for you. And by ""we're here"" we really mean ""Alexa is there."" Read on.

The best gadgets for hackers

No matter their age, interests, or ability, these gifts will put a smile on any hacker's face this holiday season.

Best tech to help you stay healthy in the new year

It's more important than ever to stay healthy and these gadgets will help you on your journey.

Tech gifts and gadgets so cool you'll want one for yourself too

In the upcoming gift-giving season, these gadgets will tempt you to pick up the same present for yourself, too.

Practically indestructible gadgets that make great presents

It is so annoying when a fairly new piece of tech kit fails. Here is a roundup of practically indestructible tech items that will cope with the rough and tumble of your daily life.

David's strangely random, oddly wonderful gadget guide

ZDNet's Wizard of Weird returns with another eclectic gift guide for the geek in all of us. David Gewirtz selects all manner of oddities and curiosities, surprises and marvels -- reasonably affordable and generally shippable in time for the holidays.

The best tech presents for non-techies in 2020

Perfect gifts for the non-techie friends and family in your life.

10 cool and useful gadgets, all under $50

The holidays can be an expensive time of year, which is why I have compiled a list of my favorite gadgets that make great gifts and cost less than $50.

Weird but useful gadgets and gear

This is 2020. Predictable is out, and it's the perfect time for weird, yet surprisingly useful, gifts.

Best gadgets to help you stay healthy in the new year

It's more important than ever to stay healthy and these gadgets will help you on your journey.



Here are a few of our ""best of"" roundups -- which highlight all the top tech you can buy right now: 

Best noise-canceling headphones: Plantronics, Jabra, Logitech, and more 

A comfortable, noise-canceling headset is more important than ever in the age of remote work. Here are our top picks.  

Why buy AirPods? Great earbuds don't have to cost $250 

Apple's AirPods and AirPods Pro have become synonymous with quality earbuds, but you can grab the high-quality Soundcore Life Dot 2 earbuds for under $50. 

Best streaming music services: Spotify, Apple, Amazon, and more alternatives 

Free is nice, but these music services are absolutely worth paying for. Each one offers ad-free streaming for paid subscribers, plus the ability to save content for offline listening and stream any song or album on demand.  

5G almost cheap: The best affordable 5G phones between $400 and $700 

The Google Pixel 4A 5G ups the ante for mid-range 5G smartphone devices made by Motorola, OnePlus, Samsung, and LG. Here's a look at your options.  

The 10 best smartphones of 2020: Samsung's Note 20 tops the list 

5G is still in its infancy in the US, but low-, mid-, and high-band networks are available from all major carriers. It's not the only reason to consider our top picks, but 5G support is one reason to buy a phone and be confident keeping it for two or three years. 

Best Android tablets: Look no further than the Samsung Galaxy and Amazon Fire tablets 

There may not be a long list of Android tablets available, but you do have options. 

Which Amazon Echo to buy? How to pick the best Alexa device for your needs 

Amazon now has an entire army of Echo devices. Some listen to you. Some also watch you. Which should you choose? We help you decide.  

Best home office furniture and tech: Herman Miller chair, LG UltraWide monitor, and more 

If you're setting up a home office or you've decided to upgrade your current home office for full-time work, we have great suggestions for you. We're not holding back on price in this list, but we're not going crazy either. All our suggestions are meant for a more functional, more productive work experience. 

Best keyboards: From mechanical to minimal, the top options compared 

Finding yourself spending more time working from your home office? Time to kit it out with quality keyboards so you can get more work done in less time while also keeping your joints -- especially wrists and shoulders -- healthy.  

Best cheap laptops for under $350: Asus, Dell, Lenovo, and more 

Pick of the best $350-or-less budget laptops and convertibles.  

The best Chromebooks you can buy, from budget to rugged to Pixelbook Go 

Not everyone needs a MacBook or a Windows 10 laptop. These Chromebook laptops feature low prices and long battery lives.  

Check out our ZDNet Recommends directory or Holiday Gifts hub for some more inspiration.  "
9,https://www.zdnet.com/article/apple-offers-free-iphone-11-repair-for-touch-display-module-problem/,Apple offers free iPhone 11 repair for touch display module problem,Apple says some iPhone 11 devices made after it launched had a faulty display module.,Liam Tung,2020-12-07 10:56:23,Hardware,"If your iPhone 11's display isn't responding to touch, Apple might replace the display module at no charge. The company says that a ""small percentage"" of iPhone 11 displays might not respond to touch due to an ""issue with the display module"".

Affected devices were manufactured between November 2019 and May 2020. Apple released the iPhone 11 in September 2019, so the issue affects iPhone 11 devices made after launch. 

Owners with affected iPhone 11 devices should take up Apple's repair offer soon as the program only covers affected iPhone 11 devices for two years after it was sold at retail.

SEE: 5G smartphones: A cheat sheet (free PDF) (TechRepublic)

Apple notes that iPhone 11 devices with an already cracked screen will need to get that fixed before becoming eligible for the free repair. Those repairs could cost money. 

""If your iPhone 11 has any damage which impairs the ability to complete the repair, such as a cracked screen, that issue will need to be resolved prior to the service. In some cases, there may be a cost associated with the additional repair,"" Apple notes. 

Owners can check whether their iPhone 11 is eligible for a free repair by typing the device's serial number on to Apple's support page. 

This is a worldwide Apple program but it doesn't extend the standard warranty coverage of the iPhone 11.

Apple is also offering refunds to owners who believe their iPhone 11 was affected by this issue and had already paid for it to be repaired. People with an affected iPhone 11 can get the repairs done at an Apple retail store or an authorized Apple service provider. "
